Red,Green,Blue
0.222,0.333,0.444
0.237,0.342,0.421
0.158,0.368,0.474
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.326,0.326,0.349
0.323,0.354,0.323
0.319,0.333,0.348
0.310,0.338,0.352
0.310,0.338,0.352
0.315,0.342,0.342
0.314,0.343,0.343
0.308,0.338,0.354
0.250,0.385,0.365
0.209,0.395,0.395
0.154,0.423,0.423
0.333,0.381,0.286
0.304,0.370,0.326
0.292,0.354,0.354
0.297,0.351,0.351
0.289,0.355,0.355
0.284,0.365,0.351
0.271,0.371,0.357
0.262,0.369,0.369
0.241,0.379,0.379
0.241,0.389,0.370
0.246,0.386,0.368
0.279,0.368,0.353
0.294,0.353,0.353
0.273,0.364,0.364
0.167,0.458,0.375
0.314,0.333,0.353
0.308,0.346,0.346
0.319,0.362,0.319
0.333,0.400,0.267
0.167,0.458,0.375
0.229,0.396,0.375
0.279,0.361,0.361
0.286,0.349,0.365
0.288,0.348,0.364
0.294,0.353,0.353
0.294,0.353,0.353
0.294,0.353,0.353
0.279,0.368,0.353
0.279,0.382,0.338
0.288,0.379,0.333
0.300,0.383,0.317
0.303,0.379,0.318
0.293,0.373,0.333
0.273,0.377,0.351
0.253,0.387,0.360
0.217,0.417,0.367
0.214,0.411,0.375
0.219,0.406,0.375
0.224,0.388,0.388
0.225,0.394,0.380
0.244,0.378,0.378
0.244,0.378,0.378
0.225,0.380,0.394
0.204,0.388,0.408
0.182,0.394,0.424
0.192,0.385,0.423
0.192,0.385,0.423
0.192,0.385,0.423
0.167,0.389,0.444
0.444,0.333,0.222
0.385,0.346,0.269
0.308,0.365,0.327
0.328,0.328,0.343
0.316,0.342,0.342
0.262,0.377,0.361
0.154,0.410,0.436
0.125,0.437,0.437
0.273,0.364,0.364
0.273,0.364,0.364
0.333,0.333,0.333
0.300,0.350,0.350
0.289,0.342,0.368
0.288,0.339,0.373
0.287,0.350,0.363
0.300,0.344,0.356
0.301,0.344,0.355
0.297,0.352,0.352
0.295,0.352,0.352
0.293,0.354,0.354
0.289,0.355,0.355
0.296,0.352,0.352
0.292,0.354,0.354
0.310,0.345,0.345
0.292,0.354,0.354
0.296,0.333,0.370
0.250,0.375,0.375
0.267,0.400,0.333
0.280,0.400,0.320
0.300,0.367,0.333
0.300,0.367,0.333
0.310,0.379,0.310
0.308,0.359,0.333
0.288,0.356,0.356
0.290,0.348,0.362
0.242,0.371,0.387
0.236,0.382,0.382
0.262,0.369,0.369
0.291,0.354,0.354
0.295,0.358,0.347
0.291,0.359,0.350
0.265,0.371,0.364
0.248,0.372,0.380
0.231,0.385,0.385
0.219,0.384,0.397
0.187,0.396,0.417
0.160,0.400,0.440
0.143,0.429,0.429
0.154,0.385,0.462
0.150,0.400,0.450
0.179,0.393,0.429
0.156,0.406,0.437
0.195,0.390,0.415
0.190,0.405,0.405
0.217,0.391,0.391
0.220,0.400,0.380
0.241,0.389,0.370
0.241,0.389,0.370
0.224,0.388,0.388
0.220,0.390,0.390
0.207,0.414,0.379
0.158,0.474,0.368
0.273,0.364,0.364
0.273,0.364,0.364
0.333,0.333,0.333
0.308,0.338,0.354
0.303,0.345,0.353
0.294,0.353,0.353
0.272,0.370,0.359
0.233,0.400,0.367
0.207,0.448,0.345
0.333,0.333,0.333
0.312,0.333,0.354
0.314,0.343,0.343
0.316,0.342,0.342
0.167,0.417,0.417
0.167,0.444,0.389
0.208,0.396,0.396
0.299,0.358,0.343
0.304,0.342,0.354
0.325,0.338,0.338
0.320,0.333,0.347
0.308,0.338,0.354
0.333,0.333,0.333
0.375,0.312,0.312
0.429,0.286,0.286
0.143,0.476,0.381
0.222,0.400,0.378
0.282,0.352,0.366
0.306,0.371,0.323
0.333,0.389,0.278
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.167,0.333,0.500
0.200,0.350,0.450
0.267,0.350,0.383
0.291,0.327,0.382
0.300,0.300,0.400
0.286,0.286,0.429
0.273,0.364,0.364
0.273,0.364,0.364
0.250,0.417,0.333
0.333,0.333,0.333
0.310,0.333,0.357
0.321,0.339,0.339
0.283,0.358,0.358
0.187,0.406,0.406
0.357,0.357,0.286
0.333,0.389,0.278
0.302,0.377,0.321
0.278,0.389,0.333
0.226,0.452,0.323
0.312,0.344,0.344
0.324,0.338,0.338
0.316,0.342,0.342
0.294,0.353,0.353
0.254,0.373,0.373
0.245,0.377,0.377
0.263,0.368,0.368
0.310,0.338,0.352
0.319,0.333,0.348
0.292,0.369,0.338
0.304,0.375,0.321
0.324,0.378,0.297
0.308,0.385,0.308
0.179,0.357,0.464
0.268,0.357,0.375
0.305,0.339,0.356
0.302,0.302,0.395
0.278,0.278,0.444
0.211,0.474,0.316
0.256,0.419,0.326
0.306,0.388,0.306
0.333,0.389,0.278
0.333,0.333,0.333
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.324,0.378,0.297
0.288,0.356,0.356
0.300,0.300,0.400
0.328,0.344,0.328
0.264,0.377,0.358
0.220,0.390,0.390
0.154,0.385,0.462
0.273,0.364,0.364
0.346,0.346,0.308
0.306,0.355,0.339
0.293,0.347,0.360
0.278,0.361,0.361
0.182,0.455,0.364
0.326,0.326,0.348
0.320,0.333,0.347
0.167,0.400,0.433
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.273,0.364,0.364
0.308,0.385,0.308
0.333,0.389,0.278
0.320,0.400,0.280
0.314,0.400,0.286
0.324,0.378,0.297
0.333,0.367,0.300
0.364,0.364,0.273
0.273,0.364,0.364
0.333,0.333,0.333
0.316,0.342,0.342
0.307,0.347,0.347
0.300,0.344,0.356
0.296,0.347,0.357
0.297,0.347,0.356
0.301,0.350,0.350
0.287,0.356,0.356
0.274,0.368,0.358
0.265,0.373,0.361
0.242,0.387,0.371
0.200,0.429,0.371
0.200,0.200,0.600
0.167,0.250,0.583
0.154,0.308,0.538
0.263,0.421,0.316
0.292,0.375,0.333
0.308,0.385,0.308
0.296,0.370,0.333
0.310,0.345,0.345
0.312,0.344,0.344
0.297,0.351,0.351
0.302,0.349,0.349
0.294,0.353,0.353
0.295,0.344,0.361
0.296,0.352,0.352
0.300,0.350,0.350
0.295,0.352,0.352
0.301,0.349,0.349
0.311,0.344,0.344
0.292,0.354,0.354
0.345,0.345,0.310
0.350,0.350,0.300
0.350,0.350,0.300
0.317,0.341,0.341
0.308,0.346,0.346
0.310,0.333,0.357
0.296,0.333,0.370
0.333,0.333,0.333
0.333,0.333,0.333
0.333,0.381,0.286
0.293,0.390,0.317
0.302,0.372,0.326
0.289,0.378,0.333
0.256,0.395,0.349
0.233,0.395,0.372
0.261,0.370,0.370
0.255,0.383,0.362
0.227,0.386,0.386
0.255,0.383,0.362
0.222,0.400,0.378
0.190,0.405,0.405
0.186,0.419,0.395
0.174,0.435,0.391
0.310,0.345,0.345
0.321,0.339,0.339
0.328,0.345,0.328
0.333,0.333,0.333
0.333,0.333,0.333
0.322,0.339,0.339
0.317,0.333,0.350
0.333,0.333,0.333
0.321,0.339,0.339
0.310,0.345,0.345
0.309,0.345,0.345
0.309,0.345,0.345
0.309,0.345,0.345
0.286,0.367,0.347
0.300,0.300,0.400
0.333,0.333,0.333
